Caonhat,Dongcua,GDthoathuan,Giathamchieu,Giatri,Khoiluong,Mocua,Ngay,Nuocngoaiban,Nuocngoaimua,Thapnhat,Thaydoi,Thaydoiphantram
65.40,65.40,0,61.20,0,"1,653,030",62.90,03-04-2020,0,0,62.30,4.20,6.86%
62.20,61.20,0,58.90,0,"1,604,700",58.70,01-04-2020,0,0,58.40,2.30,3.90%
62.70,58.90,"1,320,000",59.50,0,"1,868,280",61,31-03-2020,0,0,56.30,-0.60,-1.01%
65,59.50,"30,000",63.30,0,"1,861,200",58.90,30-03-2020,0,0,58.90,-3.80,-6%
66,63.30,0,68,0,"2,498,890",65.30,27-03-2020,0,0,63.30,-4.70,-6.91%
72.30,68,"75,900",73,0,"2,123,850",72.30,26-03-2020,0,0,68,-5,-6.85%
73,73,0,68.80,0,"1,417,730",70,25-03-2020,0,0,69,4.20,6.10%
71.80,68.80,"340,000",71.80,0,"1,567,590",71.80,24-03-2020,0,0,66.80,-3,-4.18%
75,71.80,"92,720",77.20,0,"1,361,560",73.20,23-03-2020,0,0,71.80,-5.40,-6.99%
77.20,77.20,0,75.60,0,"1,095,330",75.80,20-03-2020,0,0,74.90,1.60,2.12%
77.70,75.60,0,78.80,0,"1,132,320",77,19-03-2020,0,"8,670",74.60,-3.20,-4.06%
80.50,78.80,0,77.30,0,"1,406,630",77.80,18-03-2020,0,"8,670",77,1.50,1.94%
78,77.30,0,76,0,"1,252,010",72.50,17-03-2020,"61,590","61,590",71.60,1.30,1.71%
79.20,76,"61,590",79,0,"1,526,810",77,16-03-2020,"61,590","61,590",74,-3,-3.80%
86,79,"115,830",81.30,0,"3,610,700",75.70,13-03-2020,0,0,75.70,-2.30,-2.83%
81.30,81.30,0,87.40,0,"527,930",81.30,12-03-2020,0,0,81.30,-6.10,-6.98%
94.50,87.40,"20,000",93.90,0,"1,584,730",94,11-03-2020,"36,470",0,87.40,-6.50,-6.92%
95,93.90,0,95.90,0,"1,429,660",90.90,10-03-2020,"36,470",0,90.20,-2,-2.09%
98.50,95.90,0,103.10,0,"1,051,190",95.90,09-03-2020,0,0,95.90,-7.20,-6.98%
104.80,103.10,0,105.50,0,"827,890",104.40,06-03-2020,0,0,101.40,-2.40,-2.27%
106.60,105.50,0,106,0,"673,150",106,05-03-2020,0,260,104.50,-0.50,-0.47%
106,106,0,106.40,0,"680,740",105.90,04-03-2020,0,10,104.60,-0.40,-0.38%
107.80,106.40,0,106.50,0,"679,500",107.80,03-03-2020,"2,200",0,106.30,-0.10,-0.09%
107.20,106.50,0,106.50,0,"474,160",106.50,02-03-2020,"2,200",0,105.90,0,0%
107.20,106.50,0,108.40,0,"1,295,250",106,28-02-2020,0,0,104.50,-1.90,-1.75%
116,115.40,"248,760",114,0,"521,080",114,16-01-2020,0,"8,720",113.90,1.40,1.23%
114.20,114,"25,000",113.90,0,"293,160",113.90,15-01-2020,0,"4,000",113.70,0.10,0.09%
114.80,113.90,0,114.50,0,"320,810",114.80,14-01-2020,0,0,113.80,-0.60,-0.52%
